status,RT
1,1.107
1,1.263
1,0.965
1,0.895
1,1.01
1,1.178
1,1.087
1,1.297
1,1.084
1,1.153
1,0.98
1,1.174
1,1.208
0,1.25
0,1.285
1,0.869
1,0.997
1,1.341
0,1.182
1,1.13
1,0.921
1,0.862
1,1.013
1,0.883
1,1.102
1,1.078
1,1.117
1,1.071
1,0.914
0,1.368
1,1.106
1,0.835
1,1.006
1,1.028
1,1.184
0,1.937
1,0.964
1,0.909
1,1.337
1,1.234
1,0.966
1,0.854
0,1.321
1,1.155
1,0.974
1,1.106
1,0.86
1,1.012
1,1.07
1,1.378
1,0.813
0,1.237
1,1.406
1,1.042
1,0.944
1,0.882
1,1.047
1,1.144
1,0.843
1,1.258
1,1.271
1,0.937
1,1.418
1,1.394
1,1.41
1,0.916
1,0.865
1,0.873
1,0.971
1,0.836
1,0.996
1,0.895
1,1.015
1,0.981
1,0.958
1,1.213
1,0.933
0,1.18
1,0.874
0,1.302
1,0.826
1,1.035
1,0.83
0,1.47
1,1.057
1,1.069
1,0.937
1,0.946
1,1.171
0,1.288
1,1.083
1,1.231
1,0.839
1,0.828
1,0.84
1,0.862
1,1.199
1,1.181
1,1.092
1,1.153
0,1.13
0,1.237
0,1.398
0,1.401
1,0.961
1,1.079
1,0.857
1,1.173
1,1.162
0,1.226
1,1.216
1,1.258
1,1.054
1,1.218
0,1.133
1,0.972
0,1.387
1,1.159
1,1.095
1,0.972
1,0.956
1,1.139
1,1.048
1,0.929
1,0.952
1,1.046
1,1.083
1,1.191
1,0.812
1,1.106
1,1.018
1,0.996
1,0.917
1,1.957
1,1.221
1,1.275
1,1.178
1,0.963
1,1.299
1,1.152
1,0.896
1,0.99
0,1.125
1,0.992
1,1.374
1,1.221
1,0.954
1,1.076
1,1.071
1,1.081
1,1.094
1,1.16
1,0.874
1,0.877
0,1.544
1,0.861
0,1.487
1,1.238
1,0.966
1,1.007
1,0.862
1,0.875
1,1.037
1,0.943
1,0.899
1,1.003
1,0.901
1,1.135
1,0.841
0,1.321
1,1.284
1,1.319
0,1.285
1,0.98
1,0.823
1,1.317
1,1.31
1,0.932
1,1.369
1,1.276
1,0.941
0,1.376
0,1.151
1,1.097
1,1.198
1,0.884
0,1.148
1,1.132
1,0.979
1,1.534
1,1.083
1,1.477
1,1.234
1,1.236
1,1.158
1,0.963
1,0.847
1,0.897
1,2.434
1,1.24
1,1.61
1,1.266
0,1.141
1,1.378
1,1.013
0,1.56
0,1.34
1,0.831
1,1.531
1,1.194
0,1.254
1,0.867
1,0.985
1,1.017
1,0.936
1,0.961
0,1.339
0,1.255
0,1.232
1,1.029
0,1.326
1,1.162
1,0.889
0,1.336
1,1.129
1,1.158
1,1.034
1,0.992
1,0.996
0,1.422
0,1.237
1,0.852
0,1.401
1,0.997
1,0.946
1,0.915
1,1.129
1,1.245
0,1.776
1,1.162
1,0.931
0,1.189
0,1.688
1,1.478
0,1.391
1,1.487
0,1.215
