status,RT
1,0.864
1,1.403
1,0.851
1,1.043
1,0.861
1,0.859
1,0.844
1,1.124
1,0.994
1,0.854
0,1.533
1,0.882
1,1.323
1,1.322
1,0.846
0,1.27
0,1.191
1,1.312
1,1.162
1,1.254
1,1.071
1,1.005
1,0.812
1,1.226
1,1.837
1,1.191
0,1.266
1,0.84
1,1.1
1,1.273
1,1.445
1,1.311
1,1.309
1,1.26
1,1.058
1,1.016
1,0.978
1,1.195
1,1.022
1,0.912
0,1.227
1,1.32
1,0.878
0,1.141
1,0.838
1,0.85
0,1.353
1,0.993
1,0.845
1,1.232
1,1.039
1,0.827
1,0.865
0,1.443
1,1.03
1,0.95
1,1.063
1,1.034
1,0.845
1,1.202
1,1.066
0,1.183
0,1.463
1,1.199
1,0.844
1,0.883
1,2.475
1,1.088
0,1.3
0,1.457
0,1.388
1,0.855
1,1.261
1,1.137
1,1.675
1,1.238
0,1.214
1,0.828
1,1.135
1,1.196
1,1.007
1,0.875
0,1.117
1,1.461
1,1.039
0,1.221
1,0.847
1,0.842
1,0.936
1,0.843
1,1.101
1,1.142
1,1.021
1,1.2
1,1.173
1,1.024
0,1.253
1,1.127
1,1.735
1,0.874
1,0.816
1,1.594
1,0.965
1,0.843
1,1.297
0,1.341
1,0.847
1,1.166
1,1.307
1,0.906
1,1.172
1,1.124
1,0.928
0,1.048
0,1.183
1,0.878
1,1.148
1,0.839
1,0.92
1,0.883
1,0.97
0,1.207
1,1.131
1,1.152
0,1.155
1,1.058
1,0.841
1,1.038
1,0.86
1,1.365
1,1.151
1,0.833
1,1.146
1,0.931
1,1.166
1,0.964
1,1.013
1,0.962
1,1.246
0,1.75
1,0.963
1,1.344
0,1.46
1,1
1,0.863
1,0.811
1,0.817
1,0.87
0,1.151
1,0.875
0,1.292
1,1.053
1,0.878
1,0.854
1,1.477
1,1.035
1,1.192
0,1.307
1,1.119
1,0.887
0,1.294
1,0.871
1,1.005
1,0.959
1,1.193
1,0.814
1,0.986
1,1.306
1,0.995
1,1.382
1,0.861
1,1.01
1,1.086
1,1.037
1,1.144
1,1.017
0,1.391
0,1.228
1,1.082
1,1.598
0,1.104
1,0.99
1,0.943
0,1.389
1,1.193
1,1.071
1,1.053
1,1.198
1,1.081
1,1.85
0,1.158
0,1.22
1,1.267
1,1.555
1,1.291
1,0.988
1,1.064
1,0.921
1,0.915
1,0.848
0,1.551
1,1.432
0,1.369
1,1.032
1,0.857
1,0.873
1,1.157
1,1.09
1,1.198
1,1.169
1,0.872
1,0.876
1,1.082
1,1.525
1,1.224
1,1.14
1,1.143
1,1.175
1,1.04
1,0.821
0,1.311
1,0.932
1,1.242
1,0.995
1,1.388
1,0.958
1,1.102
1,1.091
1,0.933
1,1.297
1,1.148
1,1.471
1,1.056
1,1.093
1,1.019
1,1.114
1,0.991
1,0.985
0,1.311
1,1.179
1,1.19
1,0.906
0,1.136
1,0.858
1,0.796
0,1.188
1,1.238
1,0.822
1,1.027
1,0.824
1,1.277
1,1.076
1,1.344
1,1.144
1,1.095
1,0.863
1,1.356
1,0.855
1,1.331
1,1.309
1,1.279
0,1.279
1,1.114
1,0.907
1,0.904
1,1.185
1,0.998
1,1.025
1,1.466
1,0.927
1,0.864
1,1.317
1,1.3
1,1.25
1,1.033
1,1.441
1,0.962
0,1.325
1,0.959
1,1.09
1,1.105
1,0.787
1,0.846
1,0.925
1,0.814
1,1.176
0,1.203
